,번호,성별,지역,독서빈도,선호도,종이책 독서량,전자책 독서량,오디오북 독서량,도서 선택 시 이용정보1,도서 선택 시 이용정보2,도서 입수경로1,도서 입수경로2,초등 선호분야1,초등 선호분야2,초등 선호분야3,중고등 선호분야1,중고등 선호분야2,중고등 선호분야3,학교 밖 도서관 이용 여부,학교 밖 주이용 도서관1,학교 밖 주이용 도서관2,월 이용횟수,연 이용횟수,이용 목적,비이용 이유,코로나 이후 종이책 독서 증감,코로나 이후 전자책 독서 증감,코로나 이후 웹소설 독서 증감,코로나 이후 오디오북 독서 증감,코로나 이후 독서량,코로나 이후 도서관 방문,코로나 이후 전자도서관 이용
1348,1349,남,충북,몇 달에 한번,약간 싫어한다,30,0,0,"인터넷의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",집에 있는 책,직접 구입,5,그림책,3,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1349,1350,남,충북,매일,약간 좋아한다,150,5,2,"신문이나 잡지의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",부모님이 사다 주신다,집에 있는 책,11,"연예, 오락, 스포츠",7,-1,-1,-1,있다,어린이도서관,공공도서관,2,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,매우 감소,매우 감소
1350,1351,남,충북,일주일에 한두 번,매우 좋아한다,120,189,0,"서점, 도서관 등에서 책을 직접 보고","드라마, 영화의 원작",부모님이 사다 주신다,직접 구입,7,동화/소설,9,-1,-1,-1,있다,공공도서관,작은도서관,13,-1,독서 및 도서 대출,-1,약간 감소,약간 증가,매우 증가,변함 없음,약간 증가,약간 감소,변함 없음
1351,1352,남,충북,몇 달에 한번,매우 싫어한다,10,0,0,"가족, 선생님, 친구 추천","드라마, 영화의 원작",집에 있는 책,선물,1,취미,12,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 증가
1352,1353,남,충북,일주일에 한두 번,보통이다,200,0,0,기타,"서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관,집에 있는 책,1,취미,12,-1,-1,-1,있다,공공도서관,어린이도서관,3,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음
1353,1354,여,충북,한 달에 한두 번,매우 싫어한다,10,5,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님이 사다 주신다,주위 사람에게 대여,1,"역사, 위인전",3,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소
1354,1355,여,충북,한 달에 한두 번,보통이다,13,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,학교 밖 도서관,3,자기계발서,11,-1,-1,-1,있다,공공도서관,어린이도서관,1,-1,독서 및 도서 대출,-1,약간 증가,매우 감소,매우 감소,매우 감소,약간 증가,약간 증가,매우 감소
1355,1356,여,충북,매일,매우 좋아한다,14,6,0,"인터넷의 책 소개, 광고","가족, 선생님, 친구 추천",부모님이 사다 주신다,직접 구입,3,그림책,13,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,매우 증가,약간 증가,매우 증가,변함 없음,매우 증가,매우 감소,매우 감소
1356,1357,여,충북,일주일에 한두 번,보통이다,50,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 밖 도서관,집에 있는 책,14,동화/소설,1,-1,-1,-1,있다,어린이도서관,공공도서관,8,-1,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 증가,변함 없음
1357,1358,여,충북,한 달에 한두 번,매우 싫어한다,20,0,0,기타,"가족, 선생님, 친구 추천",기타,집에 있는 책,5,동화/소설,1,-1,-1,-1,있다,공공도서관,-1,-1,3,기타,-1,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,약간 감소,변함 없음
1358,1359,여,충북,매일,보통이다,209,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 밖 도서관,부모님이 사다 주신다,3,취미,4,-1,-1,-1,있다,공공도서관,작은도서관,15,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,변함 없음
1359,1360,여,충북,일주일에 한두 번,보통이다,21,8,0,"가족, 선생님, 친구 추천",베스트셀러,부모님이 사다 주신다,직접 구입,5,"연예, 오락, 스포츠",1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,약간 감소,약간 감소,약간 감소,약간 감소,변함 없음,약간 감소,변함 없음
1360,1361,여,충북,매일,약간 좋아한다,5,2,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,집에 있는 책,1,동화/소설,11,-1,-1,-1,있다,작은도서관,공공도서관,-1,5,독서 및 도서 대출,-1,약간 증가,변함 없음,약간 증가,변함 없음,매우 증가,약간 증가,약간 증가
1361,1362,여,충북,한 달에 한두 번,보통이다,8,3,0,"텔레비전이나 라디오의 책 소개, 광고",SNS 책 소개,부모님이 사다 주신다,직접 구입,10,동화/소설,11,-1,-1,-1,있다,작은도서관,공공도서관,2,-1,독서 및 도서 대출,-1,약간 감소,약간 증가,변함 없음,변함 없음,약간 감소,매우 감소,변함 없음
1362,1363,여,충북,매일,보통이다,100,50,0,"가족, 선생님, 친구 추천","유명인, 전문가 추천",집에 있는 책,직접 구입,10,동화/소설,11,-1,-1,-1,있다,공공도서관,-1,2,-1,독서 및 도서 대출,-1,변함 없음,매우 증가,약간 증가,약간 감소,변함 없음,변함 없음,변함 없음
1363,1364,여,충북,일주일에 한두 번,보통이다,30,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관,직접 구입,3,취미,10,-1,-1,-1,있다,어린이도서관,작은도서관,3,-1,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음
1364,1365,남,서울,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,약간 감소,약간 감소,약간 감소,매우 감소,변함 없음,변함 없음
1365,1366,남,서울,몇 달에 한번,약간 좋아한다,3,0,0,"인터넷의 책 소개, 광고","가족, 선생님, 친구 추천",집에 있는 책,학교 도서관,-1,-1,-1,2,"과학, 기술, 컴퓨터",14,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1366,1367,남,서울,몇 달에 한번,약간 좋아한다,3,0,0,"유명인, 전문가 추천","서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관,직접 구입,-1,-1,-1,7,"과학, 기술, 컴퓨터",5,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,매우 감소,매우 감소
1367,1368,남,서울,일주일에 한두 번,약간 좋아한다,48,0,0,"가족, 선생님, 친구 추천","유명인, 전문가 추천",직접 구입,주위 사람에게 대여,-1,-1,-1,13,소설,6,있다,공공도서관,작은도서관,-1,1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
1368,1369,남,서울,몇 달에 한번,약간 좋아한다,36,0,0,기타,"가족, 선생님, 친구 추천",직접 구입,학교 밖 도서관,-1,-1,-1,2,"예술, 문화",13,없다,-1,-1,-1,-1,-1,기타,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,매우 감소,변함 없음
1369,1370,남,서울,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1370,1371,남,서울,매일,약간 싫어한다,0,16,0,기타,"인터넷의 책 소개, 광고",기타,-1,-1,-1,-1,15,"연예, 오락, 스포츠, 취미, 여행 ",2,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,매우 감소,매우 증가,매우 증가,매우 감소,매우 감소,매우 감소,매우 감소
1371,1372,남,서울,매일,매우 싫어한다,1,170,3,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",직접 구입,선물,-1,-1,-1,2,"과학, 기술, 컴퓨터",14,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,변함 없음,매우 증가,약간 증가,매우 증가,변함 없음,변함 없음
1372,1373,남,서울,매일,약간 좋아한다,2,100,0,"인터넷의 책 소개, 광고","드라마, 영화의 원작",기타,학교 도서관,-1,-1,-1,12,소설,13,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,약간 증가,매우 증가,변함 없음,약간 증가,변함 없음,변함 없음
1373,1374,남,서울,매일,매우 좋아한다,18,9,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,학교 밖 도서관,직접 구입,-1,-1,-1,2,"과학, 기술, 컴퓨터",13,있다,공공도서관,작은도서관,20,-1,독서 및 도서 대출,-1,약간 증가,매우 감소,매우 증가,변함 없음,매우 증가,약간 증가,약간 증가
1374,1375,남,서울,몇 달에 한번,매우 싫어한다,3,0,0,"유명인, 전문가 추천",베스트셀러,학교 도서관,집에 있는 책,-1,-1,-1,12,"과학, 기술, 컴퓨터",5,있다,공공도서관,작은도서관,7,-1,시험 공부,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음
1375,1376,남,서울,일주일에 한두 번,보통이다,12,3,2,베스트셀러,"서점, 도서관 등에서 책을 직접 보고",직접 구입,학교 밖 도서관,-1,-1,-1,2,자기계발서,4,없다,-1,-1,-1,-1,-1,기타,변함 없음,변함 없음,약간 증가,약간 증가,약간 증가,매우 감소,변함 없음
1376,1377,여,서울,전혀 읽지 않음,약간 싫어한다,1,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관,주위 사람에게 대여,-1,-1,-1,14,소설,4,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1377,1378,여,서울,한 달에 한두 번,보통이다,2,2,0,"서점, 도서관 등에서 책을 직접 보고",SNS 책 소개,학교 밖 도서관,집에 있는 책,-1,-1,-1,2,시,3,있다,공공도서관,어린이도서관,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1378,1379,여,서울,몇 달에 한번,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,있다,공공도서관,작은도서관,999,999,9,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소
1379,1380,여,서울,몇 달에 한번,보통이다,15,5,0,SNS 책 소개,각종 기관의 추천도서,직접 구입,학교 도서관,-1,-1,-1,13,"가정, 육아, 요리",5,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1380,1381,여,서울,매일,약간 좋아한다,3,7,3,"가족, 선생님, 친구 추천",SNS 책 소개,직접 구입,집에 있는 책,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",8,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,약간 증가,매우 증가,약간 증가,매우 증가,변함 없음,변함 없음
1381,1382,여,서울,매일,매우 좋아한다,30,20,0,베스트셀러,SNS 책 소개,직접 구입,부모님이 사다 주신다,-1,-1,-1,2,"예술, 문화",12,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,매우 증가,매우 증가,변함 없음,약간 증가,변함 없음,변함 없음
1382,1383,여,서울,일주일에 한두 번,보통이다,6,5,1,"유튜브, 책방송 팟캐스트의 책 소개","드라마, 영화의 원작",직접 구입,학교 도서관,-1,-1,-1,2,"예술, 문화",12,없다,-1,-1,-1,-1,-1,주로 학교도서관을 이용한다,약간 증가,매우 증가,매우 증가,변함 없음,약간 증가,변함 없음,변함 없음
1383,1384,여,서울,한 달에 한두 번,보통이다,5,0,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,주위 사람에게 대여,-1,-1,-1,2,"어학, 외국어",13,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1384,1385,여,서울,몇 달에 한번,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1385,1386,여,서울,일주일에 한두 번,약간 좋아한다,7,1,0,각종 기관의 추천도서,"서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관,직접 구입,-1,-1,-1,2,"직업, 취업 관련",12,있다,공공도서관,작은도서관,3,-1,독서 및 도서 대출,-1,약간 감소,약간 감소,변함 없음,변함 없음,약간 감소,매우 감소,매우 감소
1386,1387,여,서울,매일,매우 좋아한다,40,40,0,기타,"서점, 도서관 등에서 책을 직접 보고",직접 구입,학교 밖 도서관,-1,-1,-1,9,소설,13,있다,공공도서관,-1,5,-1,시험 공부,-1,약간 감소,매우 증가,9,9,약간 증가,매우 감소,약간 증가
1387,1388,여,서울,매일,매우 좋아한다,20,20,5,"드라마, 영화의 원작","인터넷의 책 소개, 광고",집에 있는 책,직접 구입,-1,-1,-1,15,소설,1,없다,-1,-1,-1,-1,-1,기타,약간 증가,변함 없음,약간 증가,변함 없음,약간 증가,매우 감소,변함 없음
1388,1389,여,서울,전혀 읽지 않음,매우 싫어한다,1,0,0,"가족, 선생님, 친구 추천",SNS 책 소개,학교 도서관,집에 있는 책,-1,-1,-1,2,"직업, 취업 관련",14,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1389,1390,남,충남,전혀 읽지 않음,매우 싫어한다,1,1,0,"신문이나 잡지의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관,부모님이 사다 주신다,-1,-1,-1,1,"철학, 사상, 종교",5,있다,공공도서관,작은도서관,-1,2,시험 공부,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1390,1391,남,충남,한 달에 한두 번,약간 좋아한다,5,0,0,SNS 책 소개,"서점, 도서관 등에서 책을 직접 보고",직접 구입,부모님이 사다 주신다,-1,-1,-1,14,"직업, 취업 관련",9,있다,공공도서관,작은도서관,-1,3,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
1391,1392,남,충남,몇 달에 한번,약간 싫어한다,2,0,0,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,학교 도서관,집에 있는 책,-1,-1,-1,13,소설,12,있다,공공도서관,-1,-1,2,시험 공부,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1392,1393,남,충남,몇 달에 한번,약간 싫어한다,2,0,0,베스트셀러,"서점, 도서관 등에서 책을 직접 보고",직접 구입,학교 밖 도서관,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",13,있다,공공도서관,작은도서관,-1,2,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1393,1394,남,충남,몇 달에 한번,매우 싫어한다,4,0,0,"드라마, 영화의 원작",SNS 책 소개,학교 도서관,학교 밖 도서관,-1,-1,-1,5,"연예, 오락, 스포츠, 취미, 여행 ",13,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소
1394,1395,남,충남,몇 달에 한번,보통이다,1,0,0,"인터넷의 책 소개, 광고",SNS 책 소개,학교 도서관,집에 있는 책,-1,-1,-1,12,"직업, 취업 관련",8,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음
1395,1396,남,충남,매일,약간 좋아한다,2,10,0,"유튜브, 책방송 팟캐스트의 책 소개","인터넷의 책 소개, 광고",학교 밖 도서관,집에 있는 책,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",8,있다,작은도서관,공공도서관,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1396,1397,남,충남,한 달에 한두 번,보통이다,2,3,0,베스트셀러,각종 기관의 추천도서,집에 있는 책,학교 밖 도서관,-1,-1,-1,2,"직업, 취업 관련",12,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,약간 증가,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
1397,1398,남,충남,매일,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1398,1399,남,충남,한 달에 한두 번,보통이다,5,1,0,"인터넷의 책 소개, 광고",각종 기관의 추천도서,학교 밖 도서관,학교 도서관,-1,-1,-1,2,"어학, 외국어",14,있다,공공도서관,작은도서관,2,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
1399,1400,남,충남,한 달에 한두 번,약간 좋아한다,10,0,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",학교 도서관,직접 구입,-1,-1,-1,6,소설,14,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,변함 없음
1400,1401,남,충남,몇 달에 한번,약간 좋아한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,있다,공공도서관,-1,999,999,시험 공부,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1401,1402,남,충남,몇 달에 한번,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,매우 감소,매우 감소,약간 감소,약간 감소,약간 감소,약간 감소,약간 감소
1402,1403,남,충남,전혀 읽지 않음,보통이다,2,0,0,"유튜브, 책방송 팟캐스트의 책 소개",SNS 책 소개,직접 구입,학교 도서관,-1,-1,-1,12,"예술, 문화",13,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가
1403,1404,남,충남,몇 달에 한번,매우 싫어한다,3,2,0,각종 기관의 추천도서,베스트셀러,학교 도서관,학교 밖 도서관,-1,-1,-1,6,"연예, 오락, 스포츠, 취미, 여행 ",-1,있다,공공도서관,-1,-1,2,숙제에 필요한 자료조사,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1404,1405,남,충남,한 달에 한두 번,약간 좋아한다,2,1,0,"서점, 도서관 등에서 책을 직접 보고","텔레비전이나 라디오의 책 소개, 광고",직접 구입,학교 밖 도서관,-1,-1,-1,5,"철학, 사상, 종교",12,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음
1405,1406,남,충남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1406,1407,남,충남,한 달에 한두 번,보통이다,9,2,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관,직접 구입,-1,-1,-1,11,"직업, 취업 관련",14,있다,공공도서관,작은도서관,5,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
1407,1408,남,충남,일주일에 한두 번,보통이다,0,11,0,"드라마, 영화의 원작","가족, 선생님, 친구 추천",직접 구입,집에 있는 책,-1,-1,-1,12,소설,10,있다,공공도서관,작은도서관,-1,1,독서 및 도서 대출,-1,변함 없음,매우 증가,매우 증가,변함 없음,변함 없음,변함 없음,변함 없음
1408,1409,남,충남,전혀 읽지 않음,보통이다,1,0,0,"유명인, 전문가 추천",베스트셀러,직접 구입,부모님이 사다 주신다,-1,-1,-1,13,"예술, 문화",12,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1409,1410,남,충남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1410,1411,남,충남,몇 달에 한번,약간 싫어한다,8,0,0,"드라마, 영화의 원작","인터넷의 책 소개, 광고",부모님이 사다 주신다,학교 도서관,-1,-1,-1,2,"어학, 외국어",12,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,9,9,9,9,9,9,9
1411,1412,남,충남,한 달에 한두 번,약간 좋아한다,25,3,0,"신문이나 잡지의 책 소개, 광고",베스트셀러,학교 밖 도서관,부모님이 사다 주신다,-1,-1,-1,9,소설,8,있다,공공도서관,작은도서관,1,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,변함 없음,변함 없음,매우 증가,매우 증가,약간 증가
1412,1413,남,충남,몇 달에 한번,약간 좋아한다,2,0,0,"인터넷의 책 소개, 광고",각종 기관의 추천도서,직접 구입,학교 밖 도서관,-1,-1,-1,6,소설,4,있다,공공도서관,작은도서관,-1,2,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1413,1414,남,충남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1414,1415,남,서울,매일,매우 좋아한다,30,25,0,베스트셀러,각종 기관의 추천도서,직접 구입,학교 도서관,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",7,있다,공공도서관,작은도서관,5,-1,독서 및 도서 대출,-1,매우 증가,변함 없음,매우 증가,변함 없음,약간 증가,약간 감소,매우 감소
1415,1416,남,서울,일주일에 한두 번,보통이다,50,0,0,"서점, 도서관 등에서 책을 직접 보고","유튜브, 책방송 팟캐스트의 책 소개",부모님이 사다 주신다,학교 밖 도서관,-1,-1,-1,2,"경제, 경영",12,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,매우 감소,변함 없음
1416,1417,남,서울,일주일에 한두 번,약간 좋아한다,100,0,0,기타,"서점, 도서관 등에서 책을 직접 보고",기타,직접 구입,-1,-1,-1,2,자기계발서,9,없다,-1,-1,-1,-1,-1,기타,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,약간 감소
1417,1418,남,서울,한 달에 한두 번,보통이다,50,0,0,"서점, 도서관 등에서 책을 직접 보고",-1,직접 구입,집에 있는 책,-1,-1,-1,2,수필,7,있다,작은도서관,공공도서관,2,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,매우 감소,매우 감소,변함 없음,변함 없음,변함 없음
1418,1419,남,서울,한 달에 한두 번,보통이다,40,0,0,"인터넷의 책 소개, 광고",-1,직접 구입,-1,-1,-1,-1,12,소설,7,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1419,1420,남,서울,매일,약간 좋아한다,50,0,0,"가족, 선생님, 친구 추천","유명인, 전문가 추천",부모님이 사다 주신다,집에 있는 책,-1,-1,-1,9,"정치, 사회, 시사",6,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,약간 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,매우 증가
1420,1421,남,서울,매일,보통이다,50,20,0,베스트셀러,"드라마, 영화의 원작",주위 사람에게 대여,학교 도서관,-1,-1,-1,2,"예술, 문화",4,없다,-1,-1,-1,-1,-1,기타,약간 감소,매우 증가,매우 증가,매우 감소,약간 증가,약간 감소,매우 감소
1421,1422,남,서울,일주일에 한두 번,매우 좋아한다,30,0,100,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님이 사다 주신다,집에 있는 책,-1,-1,-1,7,"철학, 사상, 종교",8,있다,공공도서관,어린이도서관,-1,2,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,약간 증가,약간 감소,매우 감소,매우 감소
1422,1423,남,서울,일주일에 한두 번,약간 싫어한다,50,0,0,기타,"인터넷의 책 소개, 광고",직접 구입,학교 도서관,-1,-1,-1,2,수필,7,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,매우 감소,매우 감소
1423,1424,남,서울,매일,매우 좋아한다,100,0,0,"가족, 선생님, 친구 추천",기타,부모님이 사다 주신다,집에 있는 책,-1,-1,-1,6,"철학, 사상, 종교",2,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,매우 증가,변함 없음,변함 없음,변함 없음,약간 증가,매우 감소,약간 증가
1424,1425,남,서울,매일,매우 좋아한다,40,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,집에 있는 책,부모님이 사다 주신다,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",3,있다,공공도서관,작은도서관,5,-1,독서 및 도서 대출,-1,매우 증가,약간 증가,매우 증가,매우 증가,9,매우 증가,약간 증가
1425,1426,남,서울,일주일에 한두 번,약간 싫어한다,10,2,0,"유명인, 전문가 추천",베스트셀러,부모님이 사다 주신다,학교 도서관,-1,-1,-1,2,"정치, 사회, 시사",9,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1426,1427,남,서울,매일,약간 좋아한다,50,0,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,집에 있는 책,-1,-1,-1,2,"예술, 문화",12,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,약간 증가
1427,1428,남,서울,일주일에 한두 번,약간 좋아한다,45,0,0,기타,"드라마, 영화의 원작",직접 구입,부모님이 사다 주신다,-1,-1,-1,12,자기계발서,13,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1428,1429,남,서울,일주일에 한두 번,매우 싫어한다,6,6,0,기타,"인터넷의 책 소개, 광고",직접 구입,학교 밖 도서관,-1,-1,-1,2,기타,9,있다,공공도서관,-1,2,-1,독서 및 도서 대출,-1,매우 감소,매우 감소,매우 증가,매우 감소,매우 감소,변함 없음,매우 감소
